OID_	ISO3CD	ROMNAM	MAP_COLOR	MAP_LABEL	Comment	CAPITAL	ISO_Alpha_	Names1	Names1_log	Names2	Names2_log	hdi_2018	Learning_o	GDP_2018	CPI_2018	Pop_2018	I_1	I_2	I_3	I_4	I_5	I_6	I_7	I_8	I_9	I_10	I_11	I_12	I_13	I_15	I_16	I_17	I_18	I_19	I_20	I_21	I_22	I_23	I_24	I_25	I_26	Shape_Length	Shape_Area	Area_km2
1	ABW	Aruba	NLD	Aruba (Neth.)	Label	Oranjestad	ABW	5	1.609437912	2	0.693147181	0	NA	3203.132961	0	105.845	NA	NA	106	0	0	0.42	0	0	3.466	0	0	NA	0.53	0	0	0	0	0	0	0.042704398	0.072793167	2005	0	0	NA	70516.52224	185462565.1	185.4625651
2	AFG	Afghanistan	AFG	Afghanistan	Label	Kabul	AFG	37	3.610917913	21	3.044522438	0.496	NA	20513.88324	16	37171.921	NA	0.038809	85.1	0.497444762	0.794760317	1350	29624.03	1000	NA	95480	117.9460318	NA	0.1	26.8	0	6.25	0	0.238904	0.9938	0.00521862	0.0046472	3518409	0	4.70930476	NA	5898147.921	6.43464E+11	643463.7146
3	AGO	Angola	AGO	Angola	Label	Luanda	AGO	42	3.737669618	20	2.995732274	0.574	NA	105902.3409	19	30809.787	NA	0.093829567	83.7	2.547947276	0.934734078	57856	35168.96	38514	3.175	18877	81.37655009	NA	6.97	14.2	0	26.09	37	0.499349	0.9922	0.058864659	0.003754714	5540785	0.002925839	4.777115573	NA	7605615.541	1.25456E+12	1254563.637
4	AIA	Anguilla	AIA	Anguilla (UK)	Label	The Valley	AIA	65	4.17438727	13	2.564949357	0	NA	293.010293	0	14.731	NA	0.227570333	100.4	0	0	5.5	0	0	3.319	0	0	NA	5.85	0	0	0	0	0	0	0.051533618	0.0476245	0	0	0	NA	77577.40594	83017607.72	83.01760772
5	ALB	Albania	ALB	Albania	Label	Tirana	ALB	39	3.663561646	25	3.218875825	0.791	436.73	15058.88377	36	2882.74	NA	0.297917	85.6	1.177220906	2.207133346	771.5	2688.46	1482	3.406	30547	55.5136126	NA	17.21	2.5	12	37.5	18	0.252859	0.988	0.054546289	0.050233556	1180010	0.000437157	6.414175987	NA	1310576.948	28692430562	28692.43056
6	AND	Andorra	AND	Andorra	Label	Andorra la Vella	AND	8	2.079441542	18	2.890371758	0.857	NA	3238.225156	0	77.006	NA	0.349192667	89.5	0	0	16	0	0	NA	0	0	1	21.19	2.5	0	0	0	0.229642	0	0.169948783	0.207729889	0	0.00011407	0	NA	117609.0263	464726236.6	464.7262366
7	ANT	Saba	NLD	Saba (Neth.)	Label	 	ANT	5	1.609437912	4	1.386294361	0	NA	0	0	277.483	NA	NA	0	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	13671.54927	12556731.45	12.55673145
8	ANT	Sint Eustatius	NLD	Sint Eustatius (Neth.)	Label	 	ANT	5	1.609437912	4	1.386294361	0	NA	0	0	277.483	NA	NA	0	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	21251.65441	22577988.73	22.57798873
9	ARE	United Arab Emirates	ARE	United Arab Emirates	Label	Abu Dhabi	ARE	23	3.135494216	9	2.197224577	0.866	460.49	414178.9426	70	9630.959	NA	NA	84.1	0.681456275	10.97525539	322.6	6537.72	0	3.033	23340	10.40394296	1	13.07	2.5	0	NA	0	0.387456	0.9875	0.140321359	0.106782667	18578	0	2.321589061	NA	2970294.999	71018988660	71018.98866
10	ARG	Argentina	ARG	Argentina	Label	Buenos Aires	ARG	604	6.403574198	1041	6.947937069	0.83	429.38	518475.2879	40	44361.15	448514	0.207726667	73.5	6.924378978	3.143857654	27112	230194.33	30600	2.512	780262	105.4015366	1	8.89	2.5	0	14.6	32	0.42166	0.9795	0.075389806	0.046229571	18261000	0.004611081	2.387180638	415412	17244944.32	2.78695E+12	2786954.627
11	ARM	Armenia	ARM	Armenia	Label	Yerevan	ARM	21	3.044522438	17	2.833213344	0.76	NA	12433.14278	35	2951.745	NA	0.130058933	86.9	0.885107495	2.232983962	332	2688.95	8140	NA	16268	0	1	23.11	5.8	0	10.53	33	0.291108	0.9949	0.099063752	0.042412833	1547000	0.00000591	4.333065657	1770.4	1582355.472	29748017633	29748.01763
12	ASM	American Samoa	USA	American Samoa (USA)	Label	Pago Pago	ASM	19	2.944438979	4	1.386294361	0	NA	0	0	55.465	NA	0.291512333	0	0	0	17.543	0	0	2.973	0	0	NA	4.27	0	0	42.86	0	0	0	0.17	0.027778	0	0	0	NA	167812.7774	211895475.7	211.8954757
13	ATA	Antarctica	ATA	Antarctica	Label	 	ATA	251	5.525452939	29	3.36729583	0	NA	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	102859992	1.24645E+13	12464487.31
14	ATF	French Southern Territories	FRA	French Southern Territories (Fr.)	Label	 	ATF	0	0	0	0	0	NA	0	0	0	NA	0.113784733	0	0	0	0	0	0	NA	0	0	NA	97.83	0	0	NA	0	0.170214	0	0	0	0	0	0	NA	2727608.601	7562350010	7562.35001
15	ATG	Antigua and Barbuda	ATG	Antigua and Barbuda	Label	St John's	ATG	0	0	0	0	0.776	NA	1610.574074	0	96.286	NA	0.252332667	95.8	0	0	9.8	24.64	0	3.669	20	0	1	19.33	0	0	0	0	0.0812663	0	0.093232408	0.072165167	0	0.000460969	0	NA	257209.1229	445682679.5	445.6826795
16	AUS	Ashmore and Cartier Islands	AUS	Ashmore & Cartier Is. (Aust.)	Label	 	AUS	3468	8.151333338	6875	8.835646923	0.938	509.22	1453870.547	77	24898.152	1235677	0.206301667	66.2	16.56791129	9.305707226	124751	119543.57	30324	3.277	1404600	63.42230442	1	16.98	2.5	5	26.23	15	0.473554	0.9915	0.151999899	0.044943286	30044000	0.006182603	1.285488002	NA	9316.647589	2076793.22	2.07679322
17	AUS	Australia	AUS	Australia	Label	Canberra	AUS	3468	8.151333338	6875	8.835646923	0.938	509.22	1453870.547	77	24898.152	1235677	0.206301667	66.2	16.56791129	9.305707226	124751	119543.57	30324	3.277	1404600	63.42230442	1	16.98	2.5	5	26.23	15	0.473554	0.9915	0.151999899	0.044943286	30044000	0.006182603	1.285488002	NA	55479373.81	7.71927E+12	7719265.894
18	AUT	Austria	AUT	Austria	Label	Vienna	AUT	289	5.666426688	1265	7.142827401	0.914	519.54	455508.255	76	8891.388	587	0.367310333	93.9	3.067703324	6.063146292	3869	5556.16	350	NA	86000	75.23907019	1	28.44	2.5	50	9.09	3	0.325919	0.9898	0.131653296	0.15028	17088560	0.001830633	8.553078407	6701.733333	2524761.34	83887627633	83887.62763
19	AZE	Azerbaijan	AZE	Azerbaijan	Label	Baku	AZE	13	2.564949357	11	2.397895273	0.754	NA	46939.12805	25	9949.537	NA	0.118168333	86.2	0.849343643	2.309902639	1139.4	10371.33	568	NA	36644	0	1	10.15	2.5	0	3.77	31	0.221007	0.9973	0.142132735	0.022140167	425300	0.0000211	3.989118667	NA	3347407.867	1.64547E+11	164546.6177
20	BDI	Burundi	BDI	Burundi	Label	Bujumbura	BDI	15	2.708050201	11	2.397895273	0.423	NA	3285.1503	17	11175.374	NA	0.163519667	96.1	0.315587738	0.621421204	276	8299.46	20120	NA	5562	81.21591387	1	7.59	0	0	40	52	0.225569	0.9938	0.097669874	0.008054125	6624000	0.002711869	4.943534851	187.74	1074696.932	27023630182	27023.63018
21	BEL	Belgium	BEL	Belgium	Label	Brussels	BEL	275	5.616771098	1764	7.475339237	0.919	529.11	543026.2665	75	11482.178	23259	0.281589333	87	1.186619847	7.439414849	683.4	6493.85	283	3.266	189591	52.71970161	1	23.21	2.5	55	16.22	1	0.201169	0.9829	0.17	0.267147	5412140	0.003952128	14.49880477	12356.90667	1356425.922	30621465675	30621.46568
22	BEN	Benin	BEN	Benin	Label	Porto-Novo (constituti	BEN	131	4.875197323	155	5.043425117	0.52	NA	10411.63717	40	11485.044	NA	0.098051067	88.7	0.876667272	1.41032762	4311	18981.41	20770	2.956	13348	128.2529068	1	28.87	7.5	0	66.67	81	0.425273	0.9909	0.167315495	0.0898025	6955050	0.003549882	5.215249616	NA	2323170.235	1.16169E+11	116169.3146
23	BES	Bonaire	NLD	Bonaire (Neth.)	Label	 	BES	0	0	0	0	0	NA	0	0	25.711	NA	0.314251667	0	0	0	0	0	0	NA	0	0	NA	31.9	0	0	22.22	0	0.0446551	0	0.169994816	0.036101857	0	0	0	NA	121199.7889	291173200	291.1732
24	BFA	Burkina Faso	BFA	Burkina Faso	Label	Ouagadougou	BFA	128	4.852030264	102	4.624972813	0.434	NA	16199.64754	41	19751.466	NA	NA	88.5	0.983452056	1.205891124	5350	80790.27	20750	NA	48363	75.01716032	1	15.08	20.7	0	60	76	0.440549	0.9904	0.151191912	0.0243628	14691146	0	3.718562157	NA	3671545.884	2.74921E+11	274920.9873
25	BGD	Bangladesh	BGD	Bangladesh	Label	Dhaka	BGD	349	5.855071922	308	5.730099783	0.614	NA	269627.6155	26	161376.708	NA	0.180856333	80.6	0.376778451	0.721982078	1429	140128.37	1023991	2.601	1230260	39.70940879	1	4.61	16.4	0	10.53	22	0.335471	0.9951	0.040091053	0.0366436	26944413	0.006537193	19.64558272	29635.30667	11125962.12	1.376E+11	137600.3003
26	BGR	Bulgaria	BGR	Bulgaria	Label	Sofia	BGR	85	4.442651256	147	4.990432587	0.816	490.67	66199.18027	42	7051.608	561685	0.189533	87.1	2.857587621	3.319070739	3823	18996.76	86	3.83	373045	36.8876837	NA	34.69	2.5	41	87.18	11	0.321425	0.989	0.17	0.047864889	5570040	0.001762085	8.178956173	NA	2237660.089	1.11137E+11	111137.4087
27	BHR	Bahrain	BHR	Bahrain	Label	Manama	BHR	9	2.197224577	9	2.197224577	0.838	452.36	37876.30243	36	1569.446	NA	NA	98	0.578061115	7.48893949	0.604	135.21	0	2.819	610	0	1	6.7	0	0	0	0	0	0	0.034928571	0.133464333	6944	0	0	NA	301775.8715	676098632.3	676.0986323
