"ISO_Alpha_3","DoSTotal","DoSb1990","DoSb2000","DoSb2010","DoSb2020","DoOTotal","DoOb1990","DoOb2000","DoOb2010","DoOb2020","RatioTotal","Ratiob1990","Ratiob2000","Ratiob2010","Ratiob2020"
"USA",7089,2,358,1759,4920,25079,14,1458,6356,17091,0.282666772997328,0.142857142857143,0.245541838134431,0.276746381371932,0.287870809197823
"CHN",4308,NA,34,452,3774,6510,NA,21,586,5823,0.661751152073733,NA,1.61904761904762,0.771331058020478,0.648119526017517
"AUS",3468,NA,189,917,2348,6875,1,257,1300,5269,0.504436363636364,NA,0.735408560311284,0.705384615384615,0.445625355855001
"BRA",3017,1,62,501,2430,3935,1,40,526,3328,0.766709021601017,1,1.55,0.952471482889734,0.730168269230769
"IND",2421,NA,117,509,1783,2639,NA,83,477,2061,0.91739295187571,NA,1.40963855421687,1.06708595387841,0.865114022319262
"GBR",2119,NA,163,734,1215,10323,NA,513,2436,7294,0.205269785914947,NA,0.317738791423002,0.301313628899836,0.166575267343022
"MLI",1782,NA,124,414,1234,435,NA,1,29,402,4.09655172413793,NA,124,14.2758620689655,3.06965174129353
"MEX",1774,NA,81,432,1248,2158,1,59,438,1644,0.822057460611678,NA,1.3728813559322,0.986301369863014,0.759124087591241
"CAN",1684,NA,120,456,1100,5815,3,296,1319,4154,0.289595872742906,NA,0.405405405405405,0.345716451857468,0.264805007221955
"ZAF",1579,NA,78,421,1070,2278,NA,90,459,1708,0.69315188762072,NA,0.866666666666667,0.917211328976035,0.626463700234192
"ESP",1549,NA,28,355,1164,4421,NA,57,742,3592,0.350373218728794,NA,0.491228070175439,0.478436657681941,0.324053452115813
"DEU",1172,NA,22,272,870,7277,NA,141,1355,5721,0.161055379964271,NA,0.156028368794326,0.200738007380074,0.152071316203461
"ITA",1099,NA,17,196,884,3496,NA,57,571,2847,0.314359267734554,NA,0.298245614035088,0.343257443082312,0.310502283105023
"JPN",1012,NA,49,217,738,2095,NA,67,399,1617,0.483054892601432,NA,0.73134328358209,0.543859649122807,0.456400742115028
"NZL",990,NA,72,283,629,1513,NA,74,344,1083,0.654329147389293,NA,0.972972972972973,0.822674418604651,0.580794090489381
"SWE",933,1,52,287,591,2901,1,107,655,2122,0.321613236814891,1,0.485981308411215,0.438167938931298,0.278510838831291
"FRA",879,NA,39,243,591,5328,NA,151,975,4159,0.164977477477477,NA,0.258278145695364,0.249230769230769,0.142101466698726
"NOR",834,1,53,195,578,1540,2,62,308,1154,0.541558441558442,0.5,0.854838709677419,0.633116883116883,0.500866551126516
"KEN",701,NA,25,164,509,841,NA,22,154,657,0.833531510107015,NA,1.13636363636364,1.06493506493506,0.774733637747336
"FIN",697,NA,37,215,442,1983,NA,79,429,1462,0.35148764498235,NA,0.468354430379747,0.501165501165501,0.302325581395349
"OMN",690,NA,24,125,540,986,NA,3,108,872,0.699797160243408,NA,8,1.15740740740741,0.619266055045872
"IDN",675,NA,26,172,474,686,NA,7,106,571,0.983965014577259,NA,3.71428571428571,1.62264150943396,0.830122591943958
"POL",610,NA,5,84,519,1373,NA,13,167,1187,0.444282592862345,NA,0.384615384615385,0.502994011976048,0.437236731255265
